Postcode,State,Fuel Type, Registrations as at 31 January 2021 , Registrations as at 31 January 2022 , Registrations as at 31 January 2023 
2017,NSW,HFCEV, -   , -   , -   
2017,NSW,Hybrid/PHEV, 336 , 376 , 464 
2018,NSW,ICE," 9,321 "," 9,637 "," 9,733 "
2018,NSW,BEV, 13 , 28 , 63 
2018,NSW,HFCEV, -   , -   , -   
2018,NSW,Hybrid/PHEV, 195 , 258 , 337 
2019,NSW,ICE," 10,435 "," 10,540 "," 10,720 "
2019,NSW,BEV, 15 , 14 , 36 
2019,NSW,HFCEV, -   , -   , -   
2019,NSW,Hybrid/PHEV, 149 , 192 , 254 
2020,NSW,ICE," 20,529 "," 22,249 "," 27,013 "
2020,NSW,BEV, 13 , 68 , 309 
2020,NSW,HFCEV, -   , -   , -   
2020,NSW,Hybrid/PHEV, 957 ," 1,430 "," 2,405 "
2021,NSW,ICE," 7,680 "," 7,556 "," 7,400 "
2021,NSW,BEV, 39 , 64 , 114 
2021,NSW,HFCEV, -   , -   , -   
2021,NSW,Hybrid/PHEV, 160 , 200 , 231 
2022,NSW,ICE," 6,443 "," 6,554 "," 6,594 "
2022,NSW,BEV, 33 , 44 , 79 
2022,NSW,HFCEV, -   , -   , -   
2022,NSW,Hybrid/PHEV, 124 , 146 , 194 
2023,NSW,ICE," 5,983 "," 5,801 "," 5,741 "
2023,NSW,BEV, 57 , 96 , 146 
2023,NSW,HFCEV, -   , -   , -   
2023,NSW,Hybrid/PHEV, 155 , 202 , 216 
2024,NSW,ICE," 5,855 "," 5,787 "," 5,677 "
2024,NSW,BEV, 39 , 59 , 89 
2024,NSW,HFCEV, -   , -   , -   
2024,NSW,Hybrid/PHEV, 112 , 138 , 157 
2025,NSW,ICE," 4,012 "," 3,970 "," 3,843 "
2025,NSW,BEV, 38 , 54 , 81 
2025,NSW,HFCEV, -   , -   , -   
2025,NSW,Hybrid/PHEV, 89 , 100 , 112 
2026,NSW,ICE," 15,952 "," 15,784 "," 15,604 "
2026,NSW,BEV, 57 , 116 , 207 
2026,NSW,HFCEV, -   , -   , -   
2026,NSW,Hybrid/PHEV, 262 , 296 , 361 
2027,NSW,ICE," 4,786 "," 4,677 "," 4,524 "
2027,NSW,BEV, 33 , 59 , 92 
2027,NSW,HFCEV, -   , -   , -   
2027,NSW,Hybrid/PHEV, 139 , 150 , 170 
2028,NSW,ICE," 2,961 "," 2,937 "," 2,896 "
2028,NSW,BEV, 17 , 30 , 51 
2028,NSW,HFCEV, -   , -   , -   
2028,NSW,Hybrid/PHEV, 70 , 84 , 101 
2029,NSW,ICE," 5,657 "," 5,658 "," 5,627 "
2029,NSW,BEV, 37 , 55 , 83 
2029,NSW,HFCEV, -   , -   , -   
2029,NSW,Hybrid/PHEV, 146 , 171 , 194 
2030,NSW,ICE," 9,278 "," 8,965 "," 8,893 "
2030,NSW,BEV, 112 , 179 , 253 
2030,NSW,HFCEV, -   , -   , -   
2030,NSW,Hybrid/PHEV, 217 , 263 , 311 
2031,NSW,ICE," 16,539 "," 16,576 "," 16,430 "
2031,NSW,BEV, 42 , 85 , 151 
2031,NSW,HFCEV, -   , -   , -   
2031,NSW,Hybrid/PHEV, 297 , 384 , 460 
2032,NSW,ICE," 6,103 "," 6,476 "," 6,551 "
2032,NSW,BEV, 7 , 19 , 34 
2032,NSW,HFCEV, -   , -   , -   
2032,NSW,Hybrid/PHEV, 127 , 148 , 186 
2033,NSW,ICE," 4,953 "," 5,054 "," 5,061 "
2033,NSW,BEV, 14 , 22 , 36 
2033,NSW,HFCEV, -   , -   , -   
2033,NSW,Hybrid/PHEV, 117 , 145 , 168 
2034,NSW,ICE," 10,703 "," 10,615 "," 10,420 "
2034,NSW,BEV, 38 , 67 , 106 
2034,NSW,HFCEV, -   , -   , -   
2034,NSW,Hybrid/PHEV, 179 , 207 , 251 
2035,NSW,ICE," 18,831 "," 18,714 "," 18,693 "
2035,NSW,BEV, 36 , 59 , 122 
2035,NSW,HFCEV, -   , -   , -   
2035,NSW,Hybrid/PHEV, 353 , 456 , 560 
2036,NSW,ICE," 18,877 "," 19,330 "," 19,594 "
2036,NSW,BEV, 27 , 45 , 112 
