,Vehicle,Cost per km,Cost per 100 km
177,NIO ET5 Touring 75 kWh,0.052557599999999996,5.2557599999999995
178,BYD ATTO 3,0.052557599999999996,5.2557599999999995
179,Audi Q4 e-tron 45,0.052557599999999996,5.2557599999999995
180,Volkswagen ID.4 GTX,0.052557599999999996,5.2557599999999995
181,Ford Explorer Extended Range AWD,0.0528448,5.284479999999999
182,Mercedes-Benz EQS 580 4MATIC,0.0528448,5.284479999999999
183,MG ZS EV Long Range,0.053132,5.3132
184,Honda e:Ny1,0.053132,5.3132
185,MG ZS EV Standard Range,0.053132,5.3132
186,Porsche Taycan Sport Turismo,0.053132,5.3132
187,Volkswagen ID.7 Tourer GTX,0.053132,5.3132
188,Kia EV6 Long Range AWD,0.053132,5.3132
189,Smart #1 Premium,0.053132,5.3132
190,Smart #1 Pro+,0.053132,5.3132
191,Smart #3 Brabus,0.053132,5.3132
192,Toyota bZ4X AWD,0.0534192,5.34192
193,Zeekr X Privilege AWD,0.0534192,5.34192
194,Audi Q4 Sportback e-tron 55 quattro,0.0534192,5.34192
195,NIO ET5 Touring 100 kWh,0.0534192,5.34192
196,Ford Explorer Standard Range RWD,0.0534192,5.34192
197,MG Cyberster GT,0.0534192,5.34192
198,Volvo EC40 Single Motor,0.0534192,5.34192
199,Porsche Taycan Turbo,0.053706399999999994,5.37064
200,Genesis G80 Electrified Luxury,0.053993599999999996,5.39936
201,Audi Q4 Sportback e-tron 45 quattro,0.053993599999999996,5.39936
202,Zeekr 001 Performance AWD,0.053993599999999996,5.39936
203,Smart #1 Pro,0.053993599999999996,5.39936
204,Nissan Ariya 63kWh,0.053993599999999996,5.39936
205,Volvo EC40 Single Motor ER,0.053993599999999996,5.39936
206,Lexus UX 300e,0.053993599999999996,5.39936
207,Porsche Taycan Plus Sport Turismo,0.053993599999999996,5.39936
208,Lotus Emeya,0.0542808,5.42808
209,Lotus Emeya S,0.0542808,5.42808
210,Ford Mustang Mach-E ER RWD,0.054568,5.456799999999999
211,Genesis GV60 Premium,0.054568,5.456799999999999
212,Hyundai IONIQ 5 Long Range 2WD,0.054568,5.456799999999999
213,Polestar 4 Long Range Single Motor,0.054568,5.456799999999999
214,Zeekr 001 Privilege AWD,0.054568,5.456799999999999
215,Mercedes-Benz EQA 300 4MATIC,0.054568,5.456799999999999
216,Mercedes-Benz EQA 350 4MATIC,0.054568,5.456799999999999
217,Aiways U5,0.054568,5.456799999999999
218,Smart #1 Pulse,0.0548552,5.48552
219,Smart #1 Brabus,0.0548552,5.48552
220,Volvo EX30 Twin Motor Performance,0.0548552,5.48552
221,Ford Mustang Mach-E SR RWD,0.0548552,5.48552
222,Porsche Taycan 4S Sport Turismo,0.0548552,5.48552
223,MG Marvel R,0.055142399999999994,5.514239999999999
224,XPENG G9 RWD Standard Range,0.055142399999999994,5.514239999999999
225,Porsche Taycan 4 Cross Turismo,0.055142399999999994,5.514239999999999
226,Porsche Taycan 4S Cross Turismo,0.055142399999999994,5.514239999999999
227,Peugeot e-3008 73 kWh,0.055142399999999994,5.514239999999999
228,Peugeot e-3008 73 kWh Dual Motor,0.055142399999999994,5.514239999999999
229,Peugeot e-3008 98 kWh Long Range,0.055142399999999994,5.514239999999999
230,Hyundai IONIQ 5 Long Range AWD,0.055142399999999994,5.514239999999999
231,BMW iX3,0.055142399999999994,5.514239999999999
232,Mercedes-Benz EQB 300 4MATIC,0.055429599999999996,5.54296
