,Postcode,Latitude,Longitude,State,Fuel Type,Registrations as at 31 January 2021,Registrations as at 31 January 2022,Registrations as at 31 January 2023
8174,5452,-33.969454,138.652781,SA,HFCEV,0,0,0
8175,5452,-33.969454,138.652781,SA,Hybrid/PHEV,6,8,7
8176,5453,-33.802932,138.582681,SA,ICE,4937,4938,5027
8177,5453,-33.802932,138.582681,SA,BEV,0,0,0
8178,5453,-33.802932,138.582681,SA,HFCEV,0,0,0
8179,5453,-33.802932,138.582681,SA,Hybrid/PHEV,35,44,61
8180,5454,-33.37077758,138.5946476,SA,ICE,405,399,406
8181,5454,-33.37077758,138.5946476,SA,BEV,0,0,0
8182,5454,-33.37077758,138.5946476,SA,HFCEV,0,0,0
8183,5454,-33.37077758,138.5946476,SA,Hybrid/PHEV,3,3,6
8184,5455,-33.673948,138.633474,SA,ICE,58,58,65
8185,5455,-33.673948,138.633474,SA,BEV,0,0,0
8186,5455,-33.673948,138.633474,SA,HFCEV,0,0,0
8187,5455,-33.673948,138.633474,SA,Hybrid/PHEV,0,0,0
8188,5460,-34.312427,138.517968,SA,ICE,721,734,750
8189,5460,-34.312427,138.517968,SA,BEV,0,0,0
8190,5460,-34.312427,138.517968,SA,HFCEV,0,0,0
8191,5460,-34.312427,138.517968,SA,Hybrid/PHEV,3,3,5
8192,5461,-34.095314,138.444457,SA,ICE,2398,2397,2438
8193,5461,-34.095314,138.444457,SA,BEV,0,0,0
8194,5461,-34.095314,138.444457,SA,HFCEV,0,0,0
8195,5461,-34.095314,138.444457,SA,Hybrid/PHEV,9,12,14
8196,5462,-33.896378,138.43015,SA,ICE,544,545,552
8197,5462,-33.896378,138.43015,SA,BEV,0,0,0
8198,5462,-33.896378,138.43015,SA,HFCEV,0,0,0
8199,5462,-33.896378,138.43015,SA,Hybrid/PHEV,0,3,0
8200,5464,-33.676424,138.39411,SA,ICE,624,615,616
8201,5464,-33.676424,138.39411,SA,BEV,0,0,0
8202,5464,-33.676424,138.39411,SA,HFCEV,0,0,0
8203,5464,-33.676424,138.39411,SA,Hybrid/PHEV,0,3,4
8204,5470,-33.575379,138.482681,SA,ICE,155,156,149
8205,5470,-33.575379,138.482681,SA,BEV,0,0,0
8206,5470,-33.575379,138.482681,SA,HFCEV,0,0,0
8207,5470,-33.575379,138.482681,SA,Hybrid/PHEV,0,0,0
8208,5471,-33.47611,138.424322,SA,ICE,120,119,123
8209,5471,-33.47611,138.424322,SA,BEV,0,0,0
8210,5471,-33.47611,138.424322,SA,HFCEV,0,0,0
8211,5471,-33.47611,138.424322,SA,Hybrid/PHEV,0,3,3
8212,5472,-33.387234,138.410287,SA,ICE,194,188,206
8213,5472,-33.387234,138.410287,SA,BEV,0,0,0
8214,5472,-33.387234,138.410287,SA,HFCEV,0,0,0
8215,5472,-33.387234,138.410287,SA,Hybrid/PHEV,0,0,3
8216,5473,-33.257131,138.351282,SA,ICE,691,703,700
8217,5473,-33.257131,138.351282,SA,BEV,0,0,0
8218,5473,-33.257131,138.351282,SA,HFCEV,0,0,0
8219,5473,-33.257131,138.351282,SA,Hybrid/PHEV,5,9,11
8220,5480,-33.125751,138.319834,SA,ICE,885,913,943
8221,5480,-33.125751,138.319834,SA,BEV,0,0,0
8222,5480,-33.125751,138.319834,SA,HFCEV,0,0,0
8223,5480,-33.125751,138.319834,SA,Hybrid/PHEV,3,5,9
8224,5481,-33.012446,138.239719,SA,ICE,663,658,652
8225,5481,-33.012446,138.239719,SA,BEV,0,0,0
8226,5481,-33.012446,138.239719,SA,HFCEV,0,0,0
8227,5481,-33.012446,138.239719,SA,Hybrid/PHEV,0,3,6
8228,5482,-32.842201,138.357347,SA,ICE,549,559,581
8229,5482,-32.842201,138.357347,SA,BEV,0,0,0
8230,5482,-32.842201,138.357347,SA,HFCEV,0,0,0
8231,5482,-32.842201,138.357347,SA,Hybrid/PHEV,4,5,7
8232,5483,-32.8863,138.12371,SA,ICE,350,353,355
8233,5483,-32.8863,138.12371,SA,BEV,0,0,0
8234,5483,-32.8863,138.12371,SA,HFCEV,0,0,0
8235,5483,-32.8863,138.12371,SA,Hybrid/PHEV,6,6,7
8236,5485,-32.546383,138.207041,SA,ICE,604,634,631
8237,5485,-32.546383,138.207041,SA,BEV,0,0,0
8238,5485,-32.546383,138.207041,SA,HFCEV,0,0,0
8239,5485,-32.546383,138.207041,SA,Hybrid/PHEV,3,3,0
8240,5490,-33.15461443,138.3910467,SA,ICE,191,187,186
8241,5490,-33.15461443,138.3910467,SA,BEV,0,0,0
8242,5490,-33.15461443,138.3910467,SA,HFCEV,0,0,0
8243,5490,-33.15461443,138.3910467,SA,Hybrid/PHEV,0,0,3
8244,5491,-33.30647586,138.4941508,SA,ICE,1898,1888,1964
8245,5491,-33.30647586,138.4941508,SA,BEV,0,0,0
8246,5491,-33.30647586,138.4941508,SA,HFCEV,0,0,0
8247,5491,-33.30647586,138.4941508,SA,Hybrid/PHEV,11,17,28
8248,5493,-33.015031,138.746595,SA,ICE,105,98,107
8249,5493,-33.015031,138.746595,SA,BEV,0,0,0
8250,5493,-33.015031,138.746595,SA,HFCEV,0,0,0
8251,5493,-33.015031,138.746595,SA,Hybrid/PHEV,0,0,0
8252,5495,-33.10214154,138.0327999,SA,ICE,649,631,632
8253,5495,-33.10214154,138.0327999,SA,BEV,0,0,0
8254,5495,-33.10214154,138.0327999,SA,HFCEV,0,0,0
8255,5495,-33.10214154,138.0327999,SA,Hybrid/PHEV,0,3,0
8256,5501,-34.595073,138.547998,SA,ICE,7643,7978,8344
8257,5501,-34.595073,138.547998,SA,BEV,0,0,3
8258,5501,-34.595073,138.547998,SA,HFCEV,0,0,0
8259,5501,-34.595073,138.547998,SA,Hybrid/PHEV,29,43,56
8260,5502,-34.507413,138.560286,SA,ICE,1596,1617,1642
8261,5502,-34.507413,138.560286,SA,BEV,0,0,0
8262,5502,-34.507413,138.560286,SA,HFCEV,0,0,0
8263,5502,-34.507413,138.560286,SA,Hybrid/PHEV,4,7,10
8264,5510,-33.9491,138.188988,SA,ICE,155,146,136
8265,5510,-33.9491,138.188988,SA,BEV,0,0,0
8266,5510,-33.9491,138.188988,SA,HFCEV,0,0,0
8267,5510,-33.9491,138.188988,SA,Hybrid/PHEV,3,0,0
8268,5520,-33.769107,138.12018,SA,ICE,573,566,580
8269,5520,-33.769107,138.12018,SA,BEV,0,0,0
8270,5520,-33.769107,138.12018,SA,HFCEV,0,0,0
8271,5520,-33.769107,138.12018,SA,Hybrid/PHEV,3,0,3
8272,5521,-33.567546,138.210043,SA,ICE,168,174,166
8273,5521,-33.567546,138.210043,SA,BEV,0,0,0
8274,5521,-33.567546,138.210043,SA,HFCEV,0,0,0
8275,5521,-33.567546,138.210043,SA,Hybrid/PHEV,3,0,3
8276,5522,-33.578188,138.003325,SA,ICE,1374,1400,1422
8277,5522,-33.578188,138.003325,SA,BEV,0,0,0
8278,5522,-33.578188,138.003325,SA,HFCEV,0,0,0
8279,5522,-33.578188,138.003325,SA,Hybrid/PHEV,5,7,8
8280,5523,-33.40073023,137.9305289,SA,ICE,1871,1911,1926
8281,5523,-33.40073023,137.9305289,SA,BEV,0,0,3
8282,5523,-33.40073023,137.9305289,SA,HFCEV,0,0,0
8283,5523,-33.40073023,137.9305289,SA,Hybrid/PHEV,17,20,23
8284,5540,-33.205773,138.080191,SA,ICE,11912,12044,12123
8285,5540,-33.205773,138.080191,SA,BEV,0,0,3
8286,5540,-33.205773,138.080191,SA,HFCEV,0,0,0
8287,5540,-33.205773,138.080191,SA,Hybrid/PHEV,112,155,193
8288,5550,-34.093038,138.243785,SA,ICE,839,841,872
8289,5550,-34.093038,138.243785,SA,BEV,0,0,0
